Start_Year,Incident__,Begin_Time,Incident_Type,City,Property_Classification,Response_Type,Act_or_Omission__Cause_,Material_First_Ignited,Igniting_Object,Drive_Time,Start_Hr,First_Enroute,First_At_Scene,Under_Control,Time_UC,FID
2001,3752,12/22/2001 9:51:24 AM,100  Structure Fire,Fredericton,"339  Rooming,board,lodge, hostel",10  Fire (explosion)-dollar loss,21  Smokers material,44  Paper/Packing material,71  Smoker's mat/cigarettes/match,155,9,12/22/2001 9:53:21 AM,12/22/2001 9:54:30 AM,12/22/2001 9:56:08 AM,00:01:38,29
2002,147,1/15/2002 6:47:27 PM,100  Structure Fire,Fredericton,"324  Apt,twnhouse 3-20 w/o busines",10  Fire (explosion)-dollar loss,44 Electric short circuit,25  Mattress/pillow,55  Electric receptacle/switch,144,18,1/15/2002 6:49:33 PM,1/15/2002 6:51:07 PM,,,30
2002,154,1/16/2002 8:04:57 AM,100  Structure Fire,Burpee,"312  Dwell,seasonl,in seasn 1 fam",10  Fire (explosion)-dollar loss,13  Suspicious,00  Cannot be determined,00  Object cannot be determined,2424,8,1/16/2002 8:07:57 AM,1/16/2002 8:46:29 AM,,,31
2002,237,1/26/2002 3:41:25 AM,100  Structure Fire,Fredericton,"311  Dwell,year round use 1 family",10  Fire (explosion)-dollar loss,20  Misuse...Cannot be determined,"36  Fabric, synthetic inc. mixed",79  Smoker mat'l/Open flame unclass,94,3,1/26/2002 3:42:34 AM,1/26/2002 3:44:04 AM,1/26/2002 4:11:14 AM,00:27:10,32
2002,310,2/2/2002 5:11:15 PM,100  Structure Fire,Fredericton,"311  Dwell,year round use 1 family",10  Fire (explosion)-dollar loss,78  Distracted / preoccupied,56  Oil cooking/lard/grease/butter,"02  Stove top, fire in pan",200,17,2/2/2002 5:13:36 PM,2/2/2002 5:16:30 PM,2/2/2002 5:18:01 PM,00:01:31,33
2002,339,2/4/2002 4:42:33 PM,100  Structure Fire,Fredericton,"311  Dwell,year round use 1 family",10  Fire (explosion)-dollar loss,21  Smokers material,44  Paper/Packing material,71  Smoker's mat/cigarettes/match,450,16,2/4/2002 4:44:28 PM,2/4/2002 4:50:27 PM,2/4/2002 5:57:10 PM,01:06:43,34
2002,378,2/7/2002 2:02:37 PM,100  Structure Fire,Fredericton,"322  Apt,twnhouse 1-2 w/o business",10  Fire (explosion)-dollar loss,37  Combustibles too near the heat,33  Clothing - Synthetic fibre,"21  Heating equipment, central",122,14,2/7/2002 2:04:26 PM,2/7/2002 2:05:44 PM,2/7/2002 2:18:57 PM,00:13:13,35
2002,434,2/15/2002 12:00:32 AM,100  Structure Fire,Fredericton,"322  Apt,twnhouse 1-2 w/o business",10  Fire (explosion)-dollar loss,44 Electric short circuit,41  Wood,49  Appliance unclassified,291,0,2/15/2002 12:02:14 AM,2/15/2002 12:05:55 AM,2/15/2002 12:20:18 AM,00:14:23,36
2002,453,2/16/2002 12:42:56 PM,100  Structure Fire,Fredericton,"359  Motor hotel, motel (Ext Entry)",10  Fire (explosion)-dollar loss,49 Mech/elec failure unclassified,08  Structural comp/flr/ceil/roof,"54  Panel, electric/fuse/breaker",202,12,2/16/2002 12:44:27 PM,2/16/2002 12:47:16 PM,2/16/2002 1:44:08 PM,00:56:52,37
2002,481,2/19/2002 12:03:52 AM,100  Structure Fire,Fredericton,"179  Restaurant, Pub , Night Club",10  Fire (explosion)-dollar loss,74  Accident,47  Cardboard,"99  Igniting Object,unclassified",219,0,2/19/2002 12:06:06 AM,2/19/2002 12:08:41 AM,2/19/2002 12:48:30 AM,00:39:49,38
2002,540,2/24/2002 8:46:47 PM,100  Structure Fire,Fredericton,"311  Dwell,year round use 1 family",10  Fire (explosion)-dollar loss,,41  Wood,"28  Chimney, factory-built, metal",608,20,2/24/2002 8:48:59 PM,2/24/2002 8:57:58 PM,2/24/2002 10:23:58 PM,01:26:00,39
2002,581,3/1/2002 7:34:05 PM,100  Structure Fire,Fredericton,"324  Apt,twnhouse 3-20 w/o busines",10  Fire (explosion)-dollar loss,78  Distracted / preoccupied,56  Oil cooking/lard/grease/butter,"05  Oven of stove, range",146,19,3/1/2002 7:36:21 PM,3/1/2002 7:37:33 PM,3/1/2002 7:48:27 PM,00:10:54,40
2002,836,3/29/2002 9:10:29 PM,100  Structure Fire,Fredericton,373  Camping/travel trailer,10  Fire (explosion)-dollar loss,14  Suspicious - young offender,"20  Furniture, Cannot be determined",00  Object cannot be determined,783,21,3/29/2002 9:13:05 PM,3/29/2002 9:24:47 PM,3/29/2002 9:30:32 PM,00:05:45,41
2002,886,4/5/2002 1:03:29 PM,100  Structure Fire,Fredericton,"781  Garage,individual residential",10  Fire (explosion)-dollar loss,00   Cannot be Determined,00  Cannot be determined,00  Object cannot be determined,167,13,4/5/2002 1:05:31 PM,4/5/2002 1:07:15 PM,4/5/2002 1:14:23 PM,00:07:08,42
2002,1036,4/21/2002 6:03:18 AM,100  Structure Fire,Fredericton,"324  Apt,twnhouse 3-20 w/o busines",10  Fire (explosion)-dollar loss,78  Distracted / preoccupied,56  Oil cooking/lard/grease/butter,"02  Stove top, fire in pan",71,6,4/21/2002 6:05:43 AM,4/21/2002 6:06:34 AM,,,43
2002,1039,4/21/2002 1:33:02 PM,100  Structure Fire,Douglas,939  Misc. Outbuildings,10  Fire (explosion)-dollar loss,92  Chimney fire - factory built,41  Wood,"27  Flue pipe, vent connector",402,13,4/21/2002 1:35:05 PM,4/21/2002 1:40:52 PM,4/21/2002 1:44:53 PM,00:04:01,44
2002,1053,4/22/2002 9:03:50 PM,100  Structure Fire,Nashwaak Village,"311  Dwell,year round use 1 family",65  Public service(mutual aid),00   Cannot be Determined,,00  Object cannot be determined,817,21,4/22/2002 9:06:44 PM,4/22/2002 9:18:29 PM,,,45
2002,1106,4/27/2002 3:55:34 PM,100  Structure Fire,Fredericton,"311  Dwell,year round use 1 family",10  Fire (explosion)-dollar loss,70  Human Failing cannot be determi,46  Waste paper,"99  Igniting Object,unclassified",133,15,4/27/2002 3:57:14 PM,4/27/2002 3:58:34 PM,4/27/2002 4:05:05 PM,00:06:31,46
2002,1136,4/30/2002 11:31:51 PM,100  Structure Fire,Fredericton,599  Misc Mercantile,10  Fire (explosion)-dollar loss,11  Incendiary fire,41  Wood,00  Object cannot be determined,118,23,4/30/2002 11:34:38 PM,4/30/2002 11:35:29 PM,4/30/2002 11:37:01 PM,00:01:32,47
2002,1154,5/3/2002 7:32:55 AM,100  Structure Fire,Fredericton,"324  Apt,twnhouse 3-20 w/o busines",10  Fire (explosion)-dollar loss,75  Impaired by drugs/alcohol/med,21  Upholstered furniture,71  Smoker's mat/cigarettes/match,344,7,5/3/2002 7:34:53 AM,5/3/2002 7:38:54 AM,5/3/2002 7:50:07 AM,00:11:13,48
2002,1202,5/7/2002 2:56:08 AM,100  Structure Fire,Fredericton,"539  Furniture,appl,hardware,sales",10  Fire (explosion)-dollar loss,"12  Incendiary fire, young offender","79  Chem,plastic,metal, unclassed",73  Lighter(not in conj. w/smoking),331,2,5/7/2002 2:58:43 AM,5/7/2002 3:02:22 AM,5/7/2002 5:24:16 AM,02:21:54,49
2002,1270,5/13/2002 11:17:31 PM,100  Structure Fire,Fredericton,599  Misc Mercantile,10  Fire (explosion)-dollar loss,13  Suspicious,99  Material 1st ignited - unclass,"99  Igniting Object,unclassified",292,23,5/13/2002 11:19:51 PM,5/13/2002 11:23:01 PM,5/14/2002 12:42:29 AM,01:19:28,50
2000,6,1/1/2000 3:22:18 AM,100  Structure Fire,Fredericton,599  Misc Mercantile,10  Fire (explosion)-dollar loss,00   Cannot be Determined,00  Cannot be determined,00  Object cannot be determined,338,3,1/1/2000 3:25:00 AM,1/1/2000 3:29:04 AM,1/1/2000 4:48:31 PM,13:19:27,51
2000,35,1/4/2000 1:42:18 AM,100  Structure Fire,Fredericton,"311  Dwell,year round use 1 family",10  Fire (explosion)-dollar loss,13  Suspicious,00  Cannot be determined,00  Object cannot be determined,559,1,1/4/2000 1:43:30 AM,1/4/2000 1:51:37 AM,1/4/2000 3:51:16 AM,01:59:39,52
2000,91,1/10/2000 12:58:06 PM,100  Structure Fire,Fredericton,"311  Dwell,year round use 1 family",10  Fire (explosion)-dollar loss,20  Misuse...Cannot be determined,51  Gasoline,24  Space heater (Portable),233,12,1/10/2000 12:59:15 PM,1/10/2000 1:02:51 PM,1/10/2000 1:50:05 PM,00:47:14,53
2000,191,1/21/2000 9:26:45 AM,100  Structure Fire,Fredericton,"329  Apt,twnhouse unclassified",10  Fire (explosion)-dollar loss,74  Accident,"18  Insulation, mineral/installed",77  Torch other than cut/welding,220,9,1/21/2000 9:28:23 AM,1/21/2000 9:31:18 AM,,,54
2000,272,1/28/2000 4:36:05 PM,100  Structure Fire,Fredericton,"781  Garage,individual residential",10  Fire (explosion)-dollar loss,37  Combustibles too near the heat,"63  LP Gas, Propane, Butane",24  Space heater (Portable),224,16,1/28/2000 4:38:06 PM,1/28/2000 4:40:39 PM,1/28/2000 4:55:25 PM,00:14:46,55
2000,292,1/30/2000 1:04:30 PM,100  Structure Fire,Fredericton,"311  Dwell,year round use 1 family",10  Fire (explosion)-dollar loss,40 Mech...cannot be determined,"30  Clothing, cannot be determined",33  Clothes dryer,157,13,1/30/2000 1:06:43 PM,1/30/2000 1:08:16 PM,1/30/2000 1:17:29 PM,00:09:13,56
2000,280,1/29/2000 1:00:11 PM,100  Structure Fire,Beaver Dam,"781  Garage,individual residential",10  Fire (explosion)-dollar loss,31  Fuel spilled accidentally,51  Gasoline,23  Space heater/wall furn/unit h,3,13,,1/29/2000 3:10:03 PM,1/29/2000 2:29:59 PM,,57
2000,426,2/15/2000 3:08:18 AM,100  Structure Fire,Hanwell,"311  Dwell,year round use 1 family",10  Fire (explosion)-dollar loss,00   Cannot be Determined,00  Cannot be determined,00  Object cannot be determined,1008,3,2/15/2000 3:12:05 AM,2/15/2000 3:26:17 AM,2/15/2000 4:16:41 AM,00:50:24,58
2000,460,2/19/2000 8:22:22 PM,100  Structure Fire,Fredericton,"325  Apt,twnhouse 20+ units",10  Fire (explosion)-dollar loss,37  Combustibles too near the heat,25  Mattress/pillow,23  Space heater/wall furn/unit h,221,20,2/19/2000 8:24:04 PM,2/19/2000 8:27:02 PM,2/19/2000 8:32:33 PM,00:05:31,59
2000,506,2/25/2000 10:44:41 AM,100  Structure Fire,Fredericton,499  Misc Business & personal srvc,10  Fire (explosion)-dollar loss,25  Welding/cutting too close to,47  Cardboard,76  Cutting torch/welding equipment,202,10,2/25/2000 10:46:57 AM,2/25/2000 10:48:52 AM,2/25/2000 11:11:45 AM,00:22:53,60
2000,509,2/25/2000 4:39:25 PM,100  Structure Fire,Fredericton,499  Misc Business & personal srvc,10  Fire (explosion)-dollar loss,"12  Incendiary fire, young offender",25  Mattress/pillow,73  Lighter(not in conj. w/smoking),217,16,2/25/2000 4:41:18 PM,2/25/2000 4:44:21 PM,,,61
2000,587,3/6/2000 10:30:25 AM,100  Structure Fire,Fredericton,499  Misc Business & personal srvc,90  Incident unclassified,11  Incendiary fire,73  Plastics misc,73  Lighter(not in conj. w/smoking),0,10,,3/6/2000 10:30:00 AM,3/6/2000 11:15:00 AM,00:45:00,62
2000,660,3/15/2000 8:04:42 AM,100  Structure Fire,Richibucto Road,569  Repair Shop/Laundry/Dry Clean,10  Fire (explosion)-dollar loss,44 Electric short circuit,"95  Insulation, Elect Equip","56  Cable, electric, temporary",386,8,3/15/2000 8:07:04 AM,3/15/2000 8:12:37 AM,3/15/2000 8:33:22 AM,00:20:45,63
2000,750,3/25/2000 5:22:04 AM,100  Structure Fire,Fredericton,"324  Apt,twnhouse 3-20 w/o busines",10  Fire (explosion)-dollar loss,75  Impaired by drugs/alcohol/med,56  Oil cooking/lard/grease/butter,"02  Stove top, fire in pan",157,5,3/25/2000 5:23:10 AM,3/25/2000 5:25:15 AM,3/25/2000 5:25:56 AM,00:00:41,64
2000,837,4/5/2000 12:12:50 AM,100  Structure Fire,Oromocto (Lincoln),371  Mobile homes - mobile buildgs,10  Fire (explosion)-dollar loss,00   Cannot be Determined,00  Cannot be determined,00  Object cannot be determined,729,0,4/5/2000 12:15:14 AM,4/5/2000 12:25:36 AM,,,65
2000,1001,4/19/2000 3:05:47 PM,100  Structure Fire,Fredericton,"311  Dwell,year round use 1 family",10  Fire (explosion)-dollar loss,74  Accident,99  Material 1st ignited - unclass,"02  Stove top, fire in pan",217,15,4/19/2000 3:08:34 PM,4/19/2000 3:10:39 PM,4/19/2000 5:02:59 PM,01:52:20,66
2000,1114,5/1/2000 3:31:04 PM,100  Structure Fire,Fredericton,"619  Chem Petro,paints Plastic",10  Fire (explosion)-dollar loss,00   Cannot be Determined,"79  Chem,plastic,metal, unclassed",00  Object cannot be determined,255,15,5/1/2000 3:32:37 PM,5/1/2000 3:36:20 PM,5/1/2000 4:14:09 PM,00:37:49,67
2000,1195,5/9/2000 4:05:38 AM,100  Structure Fire,Fredericton,"619  Chem Petro,paints Plastic",10  Fire (explosion)-dollar loss,"51  Deficiency, design","69  Flammable gas, unclassified",00  Object cannot be determined,316,4,5/9/2000 4:09:09 AM,5/9/2000 4:11:20 AM,5/9/2000 4:53:45 AM,00:42:25,68
2000,1292,5/18/2000 6:58:33 PM,100  Structure Fire,Fredericton,"317  Dwell, farm, 1 & 2 family",10  Fire (explosion)-dollar loss,49 Mech/elec failure unclassified,29  Furniture/furnishing unclassi,49  Appliance unclassified,157,18,5/18/2000 7:00:19 PM,5/18/2000 7:01:54 PM,5/18/2000 7:14:36 PM,00:12:42,69
2000,1293,5/18/2000 8:15:30 PM,100  Structure Fire,Hanwell,"311  Dwell,year round use 1 family",10  Fire (explosion)-dollar loss,70  Human Failing cannot be determi,"07  Floor covering, carpet, rug",49  Appliance unclassified,986,20,5/18/2000 8:18:59 PM,5/18/2000 8:34:16 PM,5/18/2000 8:44:02 PM,00:09:46,70
2000,1364,5/26/2000 1:29:29 AM,100  Structure Fire,Fredericton,"311  Dwell,year round use 1 family",10  Fire (explosion)-dollar loss,53  Installed to close to combustib,41  Wood,"26  Chimney, masonry",329,1,5/26/2000 1:34:07 AM,5/26/2000 1:37:01 AM,5/26/2000 2:19:36 AM,00:42:35,71
2000,1408,5/30/2000 4:39:06 PM,100  Structure Fire,Fredericton,"311  Dwell,year round use 1 family",10  Fire (explosion)-dollar loss,78  Distracted / preoccupied,56  Oil cooking/lard/grease/butter,"02  Stove top, fire in pan",286,16,5/30/2000 4:40:25 PM,5/30/2000 4:44:34 PM,5/30/2000 4:47:20 PM,00:02:46,72
2000,1525,6/12/2000 7:42:11 PM,100  Structure Fire,Fredericton,"324  Apt,twnhouse 3-20 w/o busines",10  Fire (explosion)-dollar loss,"12  Incendiary fire, young offender","49  Wood, paper unclassified",73  Lighter(not in conj. w/smoking),79,19,6/12/2000 7:43:58 PM,6/12/2000 7:44:25 PM,6/12/2000 7:51:38 PM,00:07:13,73
2000,2134,8/15/2000 5:25:12 AM,100  Structure Fire,Fredericton,"325  Apt,twnhouse 20+ units",10  Fire (explosion)-dollar loss,13  Suspicious,"40  Wood/paper,cannot be determined","99  Igniting Object,unclassified",314,5,8/15/2000 5:30:20 AM,8/15/2000 5:32:18 AM,8/15/2000 6:01:38 AM,00:29:20,74
2000,2302,9/5/2000 4:30:11 AM,100  Structure Fire,Fredericton,"325  Apt,twnhouse 20+ units",10  Fire (explosion)-dollar loss,11  Incendiary fire,44  Paper/Packing material,71  Smoker's mat/cigarettes/match,188,4,9/5/2000 4:32:54 AM,9/5/2000 4:34:40 AM,9/5/2000 4:36:20 AM,00:01:40,75
2000,2356,9/9/2000 10:50:33 AM,100  Structure Fire,Kingsclear First nation,"311  Dwell,year round use 1 family",65  Public service(mutual aid),,,,0,10,9/9/2000 7:55:00 AM,,,00:00:00,76
2000,2367,9/9/2000 10:00:05 PM,100  Structure Fire,Fredericton,"314  Dwell,year round use 2 family",10  Fire (explosion)-dollar loss,14  Suspicious - young offender,99  Material 1st ignited - unclass,79  Smoker mat'l/Open flame unclass,278,22,9/9/2000 10:02:12 PM,9/9/2000 10:04:58 PM,9/9/2000 10:14:00 PM,00:09:02,77
2000,2398,9/13/2000 8:11:48 PM,100  Structure Fire,Fredericton,499  Misc Business & personal srvc,10  Fire (explosion)-dollar loss,44 Electric short circuit,43  Cellulose Insulation,"51  Wiring, permanent",227,20,9/13/2000 8:13:28 PM,9/13/2000 8:16:14 PM,9/13/2000 9:09:41 PM,00:53:27,78
2000,2401,9/13/2000 11:05:07 PM,100  Structure Fire,Fredericton,"323  Apt,twnhouse 3-20 with busine",10  Fire (explosion)-dollar loss,11  Incendiary fire,51  Gasoline,00  Object cannot be determined,144,23,9/13/2000 11:06:57 PM,9/13/2000 11:08:49 PM,9/13/2000 11:19:38 PM,00:10:49,79
2000,2749,10/22/2000 2:15:44 AM,100  Structure Fire,Napadogan,"629  Wood, furn, paper, printing",65  Public service(mutual aid),99  Misc - unclassified,99  Material 1st ignited - unclass,00  Object cannot be determined,24984,2,10/22/2000 9:24:19 AM,10/22/2000 9:24:25 AM,10/22/2000 9:24:28 AM,00:00:03,80
2000,2858,10/31/2000 9:18:57 PM,100  Structure Fire,Maugerville,929  Farm facility,65  Public service(mutual aid),13  Suspicious,"49  Wood, paper unclassified",00  Object cannot be determined,829,21,10/31/2000 9:22:19 PM,10/31/2000 9:34:47 PM,,,81
2000,3140,12/2/2000 6:49:08 PM,100  Structure Fire,Fredericton,"324  Apt,twnhouse 3-20 w/o busines",10  Fire (explosion)-dollar loss,23  Inadequate control/open flame,"36  Fabric, synthetic inc. mixed","75  Candle, taper",215,18,12/2/2000 6:51:12 PM,12/2/2000 6:53:52 PM,,,82
2000,3146,12/3/2000 11:47:17 AM,100  Structure Fire,Fredericton,"324  Apt,twnhouse 3-20 w/o busines",10  Fire (explosion)-dollar loss,21  Smokers material,25  Mattress/pillow,71  Smoker's mat/cigarettes/match,144,11,12/3/2000 11:49:07 AM,12/3/2000 11:50:27 AM,,,83
2000,3180,12/6/2000 12:53:53 PM,100  Structure Fire,Fredericton,939  Misc. Outbuildings,12  Rubbish/grass fire-no $ loss,00   Cannot be Determined,"07  Floor covering, carpet, rug",00  Object cannot be determined,210,12,12/6/2000 12:56:19 PM,12/6/2000 12:58:33 PM,,,84
2000,3252,12/13/2000 12:52:46 PM,100  Structure Fire,Charters Settlement,"799  Misc. storage, unclassified",10  Fire (explosion)-dollar loss,70  Human Failing cannot be determi,51  Gasoline,24  Space heater (Portable),1378,12,12/13/2000 12:54:57 PM,12/13/2000 1:17:47 PM,,,85
2000,3332,12/18/2000 5:10:51 PM,100  Structure Fire,Douglas,"311  Dwell,year round use 1 family",10  Fire (explosion)-dollar loss,91  Chimney fire - masonary,"40  Wood/paper,cannot be determined","26  Chimney, masonry",579,17,12/18/2000 5:13:13 PM,12/18/2000 5:21:20 PM,12/18/2000 8:54:44 PM,03:33:24,86
